c auto-generated SAT problem
-332 -195 -84 0
95 226 447 0
-495 -347 17 0
-487 -27 318 0
-359 -191 -111 0
-51 -41 133 0
-465 -314 207 0
-74 -9 377 0
33 44 183 0
-418 -401 -3 0
-339 5 100 0
-266 250 336 0
-154 3 260 0
186 335 440 0
410 464 481 0
-193 46 350 0
-339 27 457 0
-409 -369 180 0
-270 -265 242 0
-179 -140 156 0
-340 -252 290 0
121 387 418 0
-441 -316 204 0
-302 382 463 0
-446 -165 314 0
-473 -471 68 0
-185 63 237 0
-59 -38 -30 0
-385 -246 422 0
-89 -45 313 0
-424 -286 71 0
-454 -236 113 0
-202 123 157 0
-318 -276 317 0
-371 -195 -10 0
-123 4 282 0
-496 244 301 0
-340 171 351 0
-458 -329 381 0
-278 194 271 0
-462 -354 -118 0
-443 -383 80 0
-451 -240 -38 0
124 464 470 0
21 60 417 0
-50 193 355 0
-41 34 218 0
4 119 189 0
-241 -180 329 0
-131 -45 290 0
-168 -118 -104 0
-263 -103 129 0
-162 -143 482 0
-317 -274 8 0
-466 -69 404 0
-419 50 471 0
-307 -34 377 0
-92 280 332 0
-385 -335 -83 0
-493 -446 453 0
-431 -228 -32 0
-330 -180 -135 0
-489 -209 478 0
-131 128 227 0
131 212 284 0
309 337 393 0
-446 16 192 0
39 221 338 0
-493 -103 96 0
-259 -251 -138 0
-376 -259 156 0
-379 -188 -158 0
-271 13 321 0
-472 -359 -340 0
-468 -247 431 0
319 430 488 0
198 378 480 0
-141 78 203 0
40 480 497 0
-101 -85 494 0
-274 253 355 0
-377 146 224 0
-438 -46 -6 0
-408 -373 -27 0
88 101 496 0
9 26 31 0
-457 138 157 0
-288 28 46 0
-467 -419 -135 0
49 360 363 0
-274 -150 438 0
-200 206 451 0
-373 -1 147 0
-317 -228 385 0
-360 -136 368 0
-373 -332 -282 0
-439 242 345 0
-172 211 323 0
-336 -149 477 0
-96 -89 143 0
215 236 362 0
-381 -346 295 0
-197 120 200 0
-418 -88 170 0
2 138 206 0
-388 -295 -17 0
213 254 308 0
-82 241 425 0
-211 -141 234 0
-249 -69 477 0
-411 447 492 0
-484 -371 -53 0
-319 126 397 0
-297 156 185 0
-387 -49 113 0
-390 -293 114 0
-433 -235 -73 0
57 96 168 0
179 396 456 0
-493 -200 -50 0
-209 2 499 0
-146 74 252 0
-315 59 182 0
-33 127 183 0
-364 -298 252 0
-32 154 305 0
-88 -17 46 0
-397 339 407 0
-409 459 493 0
-207 221 365 0
-88 -9 418 0
-413 -44 404 0
-415 -375 118 0
-322 208 267 0
-407 184 429 0
84 104 386 0
-70 -11 353 0
-224 150 376 0
210 241 259 0
-472 -464 239 0
-306 392 482 0
-252 194 234 0
-322 270 482 0
-372 -48 487 0
-200 101 169 0
-203 21 40 0
-262 -193 387 0
102 132 419 0
-450 143 186 0
26 143 457 0
124 152 373 0
-87 94 334 0
-213 72 194 0
-29 224 469 0
-205 172 494 0
-352 133 210 0
11 38 330 0
-431 -82 419 0
-132 -25 256 0
-221 -124 -81 0
-462 220 288 0
-300 -195 -6 0
-390 -191 411 0
-473 -250 246 0
-210 173 194 0
-259 -162 36 0
-201 136 228 0
-413 -366 -314 0
-453 -79 214 0
-68 36 260 0
-176 -30 425 0
-446 -281 85 0
-318 26 51 0
-426 -339 407 0
-202 101 457 0
-266 -98 57 0
-167 153 283 0
-427 -7 68 0
-492 116 484 0
40 235 461 0
-457 -362 192 0
-206 -19 367 0
-275 -253 35 0
-273 -213 12 0
-258 301 340 0
-291 -124 85 0
-387 -209 339 0
-383 -141 -118 0
-125 267 280 0
-391 -235 178 0
-75 81 257 0
-348 -250 142 0
-101 34 98 0
-397 -347 358 0
-103 198 497 0
126 168 352 0
-87 128 256 0
-282 99 208 0
-494 53 218 0
-244 -147 -23 0
-413 76 340 0
-226 -15 140 0
-208 -147 251 0
-448 143 456 0
-151 346 406 0
63 76 340 0
-434 200 384 0
-464 -317 221 0
277 311 394 0
-119 171 400 0
-284 302 338 0
-262 201 362 0
-497 64 329 0
-455 197 342 0
-486 -135 444 0
-184 47 128 0
-23 -9 263 0
-417 -4 194 0
-472 135 385 0
-179 213 349 0
-38 367 386 0
-326 -214 204 0
-112 -59 310 0
-107 -61 494 0
-186 -34 120 0
-431 102 258 0
-389 -50 167 0
-385 -250 118 0
-409 -164 307 0
1 421 500 0
-68 205 219 0
-399 -355 308 0
-494 -198 114 0
-282 -128 22 0
-334 -107 409 0
-87 34 65 0
-40 12 234 0
-423 -341 177 0
-86 112 153 0
-336 -242 -141 0
-479 36 54 0
-112 78 462 0
-472 -104 401 0
-383 60 246 0
-410 292 487 0
-386 -287 -138 0
-426 -324 95 0
-159 -31 137 0
-111 70 449 0
-147 460 474 0
-500 9 281 0
-403 -13 337 0
187 279 321 0
-162 45 178 0
-456 -137 98 0
-70 -29 343 0
-262 117 481 0
-315 -260 -31 0
-478 -92 -20 0
-439 28 83 0
-463 -361 -87 0
-129 -63 -34 0
-168 10 484 0
-284 158 311 0
-295 -287 43 0
-46 118 317 0
-241 324 385 0
-334 170 268 0
-78 76 241 0
-236 278 395 0
-210 347 423 0
-401 -275 216 0
-459 -428 308 0
-381 -157 173 0
18 263 347 0
-247 -117 28 0
-145 -68 18 0
-276 49 202 0
-242 173 343 0
-275 -46 259 0
-385 -19 372 0
-379 -269 322 0
-498 -307 -242 0
-315 132 476 0
76 128 131 0
-396 -284 14 0
-479 5 342 0
-488 -265 423 0
-159 15 435 0
-487 -139 -133 0
-334 -4 221 0
-230 -191 232 0
-397 -64 312 0
-390 -267 -187 0
-482 -128 414 0
-310 -55 257 0
-335 435 496 0
-330 -326 -255 0
-448 -380 71 0
-455 -192 -28 0
-127 -24 495 0
-160 265 345 0
-187 37 350 0
-398 -319 95 0
103 218 356 0
-472 -71 435 0
-445 -83 359 0
-429 -318 151 0
-114 424 433 0
-409 66 416 0
-172 -67 437 0
-483 11 385 0
-375 -102 258 0
-39 479 487 0
149 280 473 0
-416 -384 459 0
-485 -438 168 0
-422 -379 -272 0
-298 135 486 0
-32 82 285 0
-483 -411 -44 0
-436 -258 -187 0
-181 1 27 0
-426 391 418 0
-223 68 110 0
-108 37 112 0
-341 -208 -173 0
-476 -284 180 0
87 254 290 0
-404 48 388 0
6 446 474 0
17 20 361 0
-471 -344 -2 0
-355 -271 422 0
-357 321 443 0
-403 -200 353 0
127 149 274 0
48 418 498 0
-152 73 411 0
126 208 217 0
17 263 302 0
-380 -17 349 0
-453 254 461 0
8 69 129 0
-252 -243 33 0
-286 193 196 0
-478 -407 -26 0
-259 -201 350 0
-487 -394 335 0
-486 405 454 0
-185 -131 427 0
175 180 205 0
-393 -307 165 0
-329 -206 272 0
137 174 431 0
32 274 468 0
-372 -203 -124 0
-337 122 193 0
-494 419 430 0
54 197 478 0
-158 217 350 0
-420 -260 499 0
-285 249 401 0
-292 94 259 0
-235 -166 -86 0
-154 -57 119 0
-187 195 399 0
-160 184 499 0
-199 76 407 0
162 226 460 0
-320 -313 361 0
261 429 462 0
-237 78 308 0
-420 -33 290 0
-130 377 491 0
-477 -433 -197 0
-341 6 77 0
-434 -339 394 0
57 113 166 0
-477 -281 -193 0
-492 -432 -290 0
-1 242 288 0
102 152 280 0
44 278 485 0
-448 -439 60 0
-387 -115 376 0
-109 224 232 0
153 310 411 0
-482 -144 256 0
-423 -400 9 0
-328 -287 81 0
-407 -405 94 0
-402 70 283 0
-378 -340 270 0
-162 -18 293 0
-95 -75 59 0
-159 -154 432 0
-130 24 363 0
-101 -68 328 0
-415 73 167 0
-25 98 196 0
-385 -227 278 0
-319 -104 -45 0
-173 327 434 0
-465 -323 -176 0
45 296 494 0
-340 -22 316 0
-347 9 265 0
-395 104 272 0
-200 101 497 0
-125 354 374 0
-365 132 492 0
-397 116 183 0
-284 92 342 0
-369 156 159 0
-229 233 382 0
17 214 479 0
-158 80 322 0
-258 88 459 0
-22 2 274 0
-72 -16 209 0
-321 -160 307 0
-362 384 495 0
-426 298 460 0
-347 -145 36 0
135 459 485 0
-230 -220 99 0
-478 -219 466 0
-483 -135 381 0
353 436 497 0
-205 -169 390 0
-239 102 436 0
-474 -207 292 0
-221 -212 413 0
-226 -49 234 0
-212 -25 76 0
-451 -274 374 0
-466 98 185 0
-436 -224 181 0
-442 197 277 0
451 461 476 0
-436 58 359 0
10 254 269 0
-286 76 427 0
-375 -144 200 0
-309 -257 -74 0
-132 307 450 0
-204 -121 91 0
-465 -464 250 0
-351 -311 89 0
-356 -327 468 0
-193 -181 397 0
-313 -242 -137 0
-376 -318 310 0
-89 -56 44 0
-355 -23 196 0
-447 -15 463 0
-92 -15 448 0
-294 -102 476 0
-242 54 237 0
-420 54 499 0
-161 357 385 0
-378 -317 -118 0
35 400 461 0
-483 -220 247 0
-102 178 489 0
-111 -44 125 0
-305 -167 274 0
-448 -128 308 0
-443 -402 400 0
-457 -373 -26 0
-348 162 189 0
-265 91 487 0
-499 -176 156 0
-443 -429 301 0
-220 72 143 0
-337 -26 384 0
-159 -20 111 0
-389 -13 372 0
-222 -72 136 0
-319 85 447 0
-489 -426 64 0
-236 433 449 0
-302 162 192 0
-401 -234 415 0
280 387 393 0
-424 235 483 0
-276 -215 432 0
-471 -349 271 0
42 119 133 0
-453 -422 -273 0
-188 -142 192 0
-188 405 493 0
-317 339 469 0
14 126 305 0
-397 -237 -179 0
-368 -98 -21 0
-427 -242 -116 0
-109 -13 35 0
-332 -123 39 0
-365 157 321 0
-294 -113 -83 0
-480 -178 268 0
-470 186 408 0
-401 -55 432 0
-432 -119 15 0
-452 -369 -8 0
-244 -234 246 0
-77 341 359 0
-300 32 407 0
-294 -242 39 0
-188 55 483 0
96 159 411 0
-464 29 384 0
-250 -198 463 0
-185 -52 82 0
-441 -406 -1 0
218 279 474 0
-481 228 486 0
-262 -5 430 0
-413 184 493 0
-335 -296 400 0
-470 37 451 0
-338 -302 331 0
-2 230 267 0
-78 268 426 0
-326 291 479 0
-370 52 328 0
-364 69 435 0
-462 16 294 0
-492 236 342 0
141 396 438 0
-500 279 437 0
15 184 197 0
-410 -54 -5 0
-322 162 346 0
-223 -113 357 0
-249 -26 287 0
-453 -149 231 0
-76 142 372 0
-109 60 443 0
-286 -23 111 0
-197 -94 440 0
-431 -322 316 0
-305 -91 -65 0
-438 -244 -224 0
-271 -28 26 0
-463 -180 -95 0
-335 -277 191 0
-2 30 331 0
-312 -243 262 0
-230 87 147 0
-231 337 484 0
-278 30 484 0
-366 89 107 0
-423 -422 -215 0
-453 -258 -165 0
-287 -268 38 0
95 344 443 0
-338 -290 -154 0
-474 -90 440 0
-244 -78 182 0
-427 -213 127 0
36 37 318 0
-320 -144 500 0
-314 -267 174 0
-244 -46 447 0
383 410 433 0
-309 -123 203 0
-303 -218 319 0
-495 -399 -149 0
-347 93 238 0
-244 -234 35 0
-366 -76 454 0
-278 -218 -1 0
-277 -73 -18 0
40 68 406 0
-494 -249 437 0
68 420 494 0
-277 -42 229 0
-471 37 250 0
291 388 404 0
-462 -275 -116 0
-431 -430 -356 0
-156 -144 19 0
-372 99 291 0
-103 125 448 0
-336 136 391 0
-403 -384 -85 0
-306 48 470 0
-375 -183 -1 0
-435 378 418 0
-311 -128 319 0
-285 -274 281 0
-229 202 239 0
149 155 333 0
98 115 352 0
-436 114 430 0
-386 -278 46 0
-320 -204 427 0
-305 42 162 0
-498 44 272 0
-157 -33 44 0
-276 263 281 0
-445 -229 111 0
-209 -201 -10 0
-283 -222 -212 0
-114 81 474 0
-319 -119 -83 0
-50 -24 465 0
-435 -423 -421 0
-285 -24 48 0
-197 283 473 0
-245 5 340 0
5 106 426 0
-84 -16 297 0
-44 117 303 0
-134 -93 163 0
253 272 380 0
-454 -271 188 0
-315 45 455 0
-448 -424 -301 0
-207 -111 453 0
7 274 319 0
-180 -134 470 0
-63 244 393 0
-290 -171 103 0
-446 -425 -358 0
-296 194 219 0
-380 271 409 0
-236 -212 386 0
-207 46 154 0
-360 44 153 0
-437 47 355 0
-432 260 397 0
-478 -428 114 0
-390 -136 74 0
-312 -168 327 0
-392 -344 -219 0
-244 139 260 0
-187 -127 382 0
-295 21 158 0
-291 83 221 0
-493 -330 167 0
-301 -207 209 0
-166 123 457 0
50 103 426 0
-500 -317 30 0
192 355 443 0
1 76 254 0
299 371 416 0
-140 87 348 0
-407 -144 -111 0
-251 -64 404 0
8 325 417 0
-479 -72 -64 0
-312 -26 277 0
-220 -93 303 0
-498 -283 208 0
-324 -304 191 0
-327 -74 475 0
-294 71 342 0
279 450 492 0
-452 -373 232 0
4 200 299 0
-267 241 423 0
-324 -136 314 0
-138 143 307 0
-326 74 198 0
-438 -331 426 0
-97 4 384 0
-228 213 293 0
-367 36 50 0
-450 -172 179 0
-483 -390 -348 0
-426 -306 398 0
-419 -304 364 0
-49 94 200 0
49 198 238 0
-301 167 451 0
-134 322 383 0
-421 -387 -295 0
-471 -181 326 0
143 294 439 0
-333 2 12 0
-360 -294 -234 0
-137 138 333 0
173 188 197 0
-103 420 449 0
255 289 373 0
-112 27 203 0
-341 -66 163 0
-389 275 477 0
-118 -113 49 0
-279 293 373 0
-423 -299 -126 0
-396 -17 379 0
-466 155 295 0
-371 -49 456 0
-196 -10 227 0
-389 266 399 0
-29 195 409 0
-433 -255 350 0
99 241 263 0
98 238 312 0
-191 234 355 0
-442 -171 405 0
-137 -121 105 0
-51 72 81 0
-15 257 447 0
-454 -389 92 0
-131 -81 411 0
-377 -295 -206 0
-47 393 489 0
-399 -294 492 0
-170 98 245 0
-356 -61 179 0
-379 -320 -197 0
-361 209 453 0
-399 134 301 0
-499 -467 -400 0
-14 141 289 0
-303 -130 337 0
-461 -139 407 0
-136 164 457 0
117 226 360 0
-186 84 199 0
-347 -88 271 0
-144 -113 72 0
-422 -294 196 0
-382 -342 121 0
-223 -61 429 0
-456 317 453 0
-389 -339 2 0
-117 -19 380 0
-318 -69 122 0
-112 450 485 0
-463 -448 -411 0
-288 -49 72 0
289 348 432 0
-485 -7 16 0
-93 -5 465 0
-264 45 233 0
-302 83 191 0
-109 199 437 0
-280 115 422 0
-453 -356 -5 0
-347 -122 -25 0
-334 258 461 0
-6 93 304 0
-402 156 314 0
-393 -261 -219 0
-353 -108 -5 0
-188 108 465 0
-405 -317 420 0
-174 -138 209 0
-224 223 372 0
-422 -169 122 0
-359 141 439 0
-443 -126 139 0
-142 225 383 0
-442 221 457 0
-365 -118 138 0
-494 206 261 0
-357 202 434 0
-454 -386 100 0
-126 171 184 0
-226 413 420 0
-107 -2 4 0
-408 -403 -279 0
-350 67 267 0
-282 -176 272 0
71 423 492 0
-269 -60 363 0
-305 -47 245 0
-257 342 478 0
-376 57 442 0
-208 407 446 0
-280 -148 27 0
-387 -305 -100 0
-453 -54 112 0
-116 -12 445 0
-381 464 489 0
-278 -198 263 0
-40 293 467 0
-15 160 430 0
-485 -42 305 0
-481 -374 -337 0
-235 -217 -168 0
164 267 363 0
-345 36 447 0
-301 -91 355 0
-345 -260 467 0
-444 -312 280 0
-432 245 407 0
-476 -106 13 0
-330 -152 238 0
137 243 438 0
-243 -127 397 0
-279 210 317 0
-145 -93 -50 0
-271 -55 132 0
-484 -323 185 0
82 236 339 0
-461 -143 14 0
-260 -249 -241 0
-224 -128 -17 0
-232 72 157 0
-127 303 377 0
-252 276 488 0
-404 -322 86 0
-47 376 486 0
-446 -186 426 0
-202 -80 233 0
-84 -63 224 0
-453 -297 97 0
-303 134 461 0
26 197 417 0
-430 49 434 0
-54 -47 384 0
-428 -310 213 0
-92 -78 103 0
-282 -120 -51 0
-464 -154 305 0
-402 -89 223 0
-209 -72 182 0
-202 37 63 0
-217 88 441 0
-398 -135 366 0
54 69 220 0
-164 187 357 0
-9 40 304 0
-387 228 461 0
-417 -331 -188 0
-431 -146 -52 0
151 320 373 0
-382 -345 -169 0
-450 -387 -173 0
83 155 191 0
-305 -277 -96 0
-440 -243 -25 0
-281 -236 -90 0
-327 209 350 0
186 349 386 0
-139 -91 340 0
-143 73 494 0
-77 -72 299 0
