c auto-generated SAT problem
-4572 4431 4475 0
-4901 4046 4065 0
1804 2534 4261 0
-1751 2817 2976 0
-4436 -2847 2087 0
-3725 -2455 1864 0
-2844 -1867 -455 0
-4016 -2981 1676 0
-1112 260 2746 0
-4641 -3179 1630 0
-4237 3502 3644 0
1610 2246 3734 0
-4594 -3220 2555 0
-4244 2969 2991 0
-3724 629 1690 0
-4834 -4684 952 0
-34 3511 4243 0
-2971 -2186 918 0
-411 218 940 0
-3108 -2855 3461 0
-4510 -3733 -2533 0
-1628 -547 1533 0
-4028 -1591 2662 0
-4490 304 3759 0
-1170 1490 1801 0
-3648 2591 2981 0
2187 3518 4940 0
-566 799 2767 0
-4880 -3974 2396 0
-3439 -141 4207 0
-2391 282 2500 0
-1201 -727 3590 0
-4965 331 3348 0
-1090 134 2430 0
2101 3739 4532 0
3149 3555 4368 0
-4848 -3632 -1889 0
-4091 3252 3894 0
-3679 365 4350 0
-3079 -2202 4331 0
-3357 1368 2844 0
-2185 2582 3415 0
-4973 -3190 1925 0
-1476 2399 3364 0
-2883 -455 1154 0
-4923 -757 863 0
-4827 2080 2679 0
-4197 -393 1214 0
-4215 1449 4536 0
-4222 -3549 3857 0
-126 290 2566 0
-1165 -332 3694 0
-3485 1488 2621 0
-3361 -3359 -1304 0
-3862 -3704 -2825 0
-1549 2940 3354 0
-2602 -2009 2272 0
-312 1063 2413 0
-3469 -3403 4064 0
-4269 -563 2559 0
-4518 -695 24 0
-2476 -692 722 0
-2452 1295 4669 0
-2024 -1705 3675 0
-2596 79 444 0
-3115 -1427 -315 0
-538 1540 2458 0
-4023 -921 2346 0
-3030 -1137 -773 0
-4622 -4076 -1614 0
-3643 -3347 2862 0
-4946 -2953 -1653 0
-1233 857 4318 0
-3783 -2833 -2651 0
-1051 -894 1156 0
-3074 -2029 1185 0
1511 2369 2394 0
-4111 1387 3750 0
-982 3791 4971 0
-1520 -314 3029 0
-103 922 3462 0
-4548 -2578 1543 0
-2788 105 2821 0
-2590 -939 3945 0
-989 -592 1078 0
-3732 257 1580 0
-3829 -1433 1989 0
-4592 1051 1577 0
-4587 2637 3247 0
-3103 -1352 502 0
-2094 2450 3243 0
-3848 -1362 4505 0
-3321 2645 3860 0
-2915 75 3603 0
-4475 -364 3440 0
-4984 416 4831 0
-2295 -2139 4251 0
-4113 -3925 -1118 0
-1672 -1488 2817 0
1570 3339 4840 0
949 2541 4848 0
-3894 -3734 2060 0
-3895 -559 2781 0
-4335 -1446 119 0
-4379 -2848 -880 0
-3832 -860 2812 0
383 522 1973 0
-3889 2449 3456 0
-3557 -2526 -1685 0
1268 2938 3435 0
257 1296 1664 0
-1958 3469 4750 0
-4528 -1196 4359 0
-2563 2205 2386 0
-4746 -3732 -252 0
-3150 2766 4578 0
-3443 -1061 -770 0
-3651 -3597 -2811 0
-4790 565 1531 0
-124 382 1900 0
671 2204 4823 0
-4792 1355 2419 0
-4465 342 2729 0
-4645 -2019 1569 0
-3706 -662 1489 0
-4100 -3497 2345 0
-1296 -427 2171 0
-3492 -1377 -854 0
-3979 -2026 702 0
-4183 -3697 -1474 0
-3465 3473 4727 0
-4341 -3375 765 0
-4094 -1234 -106 0
-3273 1525 2767 0
1168 2054 4238 0
-4168 -2633 1528 0
-2742 -2554 1052 0
-2455 -1937 1469 0
-1993 -898 2247 0
-3167 -1025 2468 0
-190 2436 4174 0
-2602 2625 3299 0
-1612 438 4296 0
-3042 -621 -334 0
-2919 1843 3399 0
-4524 797 4779 0
1266 3950 4687 0
-4901 -4810 2355 0
-1729 2580 3968 0
-3963 1922 3666 0
-3688 2956 3085 0
-4899 -3096 4423 0
-3358 -1700 1299 0
-3577 -3031 411 0
1167 4690 4895 0
2831 4092 4264 0
106 2453 3010 0
-3736 -956 4987 0
-2004 2029 4252 0
-1633 4064 4812 0
-4339 -1571 3127 0
-1279 1725 3471 0
-4819 -2139 -1071 0
-138 3018 4491 0
661 1419 3893 0
-378 4027 4740 0
-4943 -4472 199 0
-4418 -1360 306 0
-613 358 4747 0
-2681 -818 2211 0
-1658 961 3475 0
-3409 -1366 2882 0
-3226 -508 -97 0
-1782 824 2341 0
-3939 -1456 3496 0
-3790 -2766 767 0
-3862 -1593 4249 0
-4384 473 886 0
-3637 -568 1463 0
-4793 -3553 4144 0
852 3264 3692 0
-3588 -2251 1568 0
-4281 1389 3598 0
-1201 1462 1618 0
-2217 -1760 2541 0
-1476 1542 4315 0
-4210 -3530 -2147 0
-284 964 4261 0
-4362 -858 3347 0
-952 -129 -113 0
-1282 1935 2875 0
-3266 136 1643 0
-726 203 2362 0
-3471 -1917 4980 0
-3197 3500 4753 0
-3711 3021 4164 0
-4332 -2917 -914 0
-4927 -4724 4861 0
-2562 1099 1910 0
-4187 -3967 3519 0
-1552 -1414 165 0
-875 2036 2564 0
-2298 -174 2979 0
-827 -484 2403 0
1766 3136 3339 0
-3870 2325 3215 0
-3434 -1816 2469 0
-4433 -2298 4636 0
-1518 1244 4738 0
-4227 539 1018 0
-1429 2823 3757 0
-4144 1542 1967 0
-3736 -129 1190 0
-4990 -2988 -1435 0
-4744 -4695 2457 0
-2209 -1595 1195 0
-4172 -414 2026 0
-1351 2254 3338 0
-4102 2591 4522 0
-2019 -1726 3632 0
-4918 -4213 -1686 0
-4437 -4352 3583 0
-2055 906 3994 0
-3843 -2710 -1905 0
133 2544 2950 0
-2107 -1312 159 0
414 2174 3112 0
2405 3120 4925 0
-4621 -709 1814 0
-4343 -384 1586 0
-1865 -857 2483 0
-2071 -412 -226 0
-1047 779 4611 0
1304 1407 3146 0
-3718 -2458 1286 0
-2247 2280 2759 0
-4453 -2017 1414 0
-3150 2951 4241 0
-459 -177 2819 0
-3439 -735 4588 0
-4285 -886 4263 0
-4997 -1292 1048 0
-4693 1133 4024 0
-413 1883 4607 0
-3500 -2590 -2203 0
-3567 -1478 4894 0
-3535 -3389 -234 0
4500 4669 4951 0
-2707 415 4107 0
-3912 1632 3317 0
-4407 -3154 -2283 0
1383 1637 3757 0
-701 -623 4864 0
-3490 -2158 -1454 0
-3037 -2336 4864 0
-13 654 2081 0
401 817 1832 0
-3629 -3334 1010 0
1937 3104 3291 0
-2652 -2596 -398 0
2532 3898 4737 0
-2181 -360 4142 0
-2068 -1043 3271 0
-344 3906 4013 0
-2972 3701 3800 0
-3535 186 932 0
-4647 -3612 -118 0
-4108 2668 4565 0
-4854 -2444 2317 0
485 4035 4236 0
-1314 -628 1550 0
-4748 -704 3188 0
-2727 -2187 813 0
-3959 1531 4438 0
-4330 -100 60 0
-3641 1280 2223 0
2120 3156 4146 0
-1998 4269 4308 0
845 2207 2738 0
-3534 -2363 2971 0
-3213 -2242 -56 0
-4783 -4273 2668 0
-4431 -2312 -387 0
-1340 2077 2782 0
-3851 -754 2857 0
-3963 -2170 3087 0
-4741 -2635 -132 0
-4738 -1071 -272 0
-4524 -2230 4473 0
-4768 -4067 3159 0
313 1566 3714 0
-565 2595 2973 0
-3910 -2949 -1907 0
-544 1212 2192 0
-4386 -377 963 0
-2478 -2442 2981 0
-1693 1524 2372 0
-2628 716 721 0
2366 2519 3860 0
1077 2113 2380 0
-4776 -4162 2369 0
-3955 1782 4937 0
-4932 -3686 1212 0
-4009 -3376 -938 0
-2930 -197 4173 0
-4283 2056 4590 0
-2137 3458 4469 0
-1446 -118 3620 0
-2881 -1626 2375 0
-3798 -1791 -225 0
189 1983 4478 0
-2411 4064 4099 0
-2152 649 1229 0
-3642 -1737 -313 0
-2170 -1773 -1749 0
-3992 -3938 3587 0
3241 3382 3969 0
-2770 -213 146 0
-3510 691 4342 0
431 682 2590 0
-942 946 2633 0
-3249 1555 1686 0
-3991 -2175 -2154 0
-2486 -1913 403 0
25 4073 4997 0
-4988 -1257 -1157 0
-3322 -3274 341 0
-566 751 3180 0
2133 2790 3836 0
-2735 -2438 3492 0
2697 3979 4132 0
-4285 -3387 3994 0
-962 1395 2760 0
-1084 433 3832 0
-3087 393 4438 0
-4299 -1581 1793 0
-4874 -4109 1130 0
-3053 -1317 2275 0
-4644 -2901 -2227 0
-1322 -833 -570 0
-3208 -1917 3993 0
-4872 -4303 3003 0
-4486 -1512 1553 0
-4431 -3560 -2223 0
-3498 -2159 3567 0
1080 2601 2797 0
-883 148 1304 0
1133 1355 1502 0
-1629 3309 4467 0
-4746 -1509 -1430 0
-3535 -1646 4579 0
2355 4359 4591 0
-3542 -2785 1827 0
1720 2814 4451 0
-4568 1907 2496 0
-2086 816 2513 0
269 1027 1369 0
-4939 -2787 -2377 0
-3424 -493 1581 0
-3605 -2360 -2115 0
1603 2362 2592 0
-1339 2690 4706 0
-638 1470 3443 0
-1554 1422 3492 0
471 1598 3095 0
-3385 1507 2158 0
-1091 1656 3570 0
-859 -511 4577 0
-1197 -1028 2158 0
-3791 -2515 2011 0
-2168 3245 3343 0
-4708 -30 1979 0
-4250 -3591 2228 0
-3205 -2540 -91 0
-1188 -966 390 0
-3254 -785 2018 0
-4741 -3345 4029 0
-4305 -3743 2712 0
-4708 -3640 2766 0
-4227 4567 4635 0
-3305 -2814 3161 0
-3239 -1659 -593 0
-2716 -412 3997 0
-1657 2021 4001 0
-3451 -2435 335 0
-1828 -159 854 0
-2033 -1427 692 0
-1051 -439 4358 0
250 461 4559 0
-4273 -1946 2003 0
-540 1536 3217 0
-2504 564 1566 0
-3646 971 3164 0
-4086 -2467 -629 0
-4133 -636 1843 0
-4263 -562 -3 0
-3544 -1795 1236 0
-4159 -2938 1602 0
1527 1968 2568 0
-4913 -3922 458 0
-3483 -1273 3768 0
-915 2121 4274 0
-4675 -4216 -3141 0
-4691 -1479 75 0
-3437 -2534 807 0
-4631 -182 426 0
-4543 -2118 4319 0
-1554 -879 -266 0
-4376 -3835 3364 0
-4140 -3602 2519 0
145 2233 3195 0
-1297 150 4000 0
-4064 2406 3951 0
-3125 -1641 -1482 0
-2232 1545 2776 0
-4168 -1890 4541 0
-3754 -68 3640 0
-3625 2214 3171 0
1601 1730 4395 0
-2575 -1506 1825 0
-4256 -3753 -500 0
-4210 1397 3962 0
-3932 -3276 1661 0
-2296 1554 3428 0
-2372 1146 2711 0
-3795 2360 4683 0
-3170 -967 423 0
-4845 -1651 1020 0
-4484 -3367 -3366 0
-4764 814 4129 0
-3127 -2013 3833 0
-4929 -3805 1527 0
-2972 780 3519 0
-4395 -2844 4337 0
-2877 -357 1275 0
-4354 -3040 -219 0
-4714 -3162 1513 0
-1546 -13 1788 0
-4194 258 4151 0
-1307 4244 4932 0
-1477 -1389 4236 0
-3580 -2982 1054 0
-2513 -1742 2661 0
-3894 2870 2883 0
-3369 -2064 -1041 0
-1713 -1374 2048 0
-36 1265 3355 0
3574 4643 4879 0
-3766 1004 4369 0
-4005 2644 4441 0
-4834 194 3815 0
-4394 2182 2856 0
34 3743 4065 0
2458 2748 4136 0
-3138 -2998 -2556 0
-2935 918 4635 0
-3083 -1562 748 0
-2234 2327 4856 0
-2741 -925 2246 0
3084 4396 4768 0
-3584 2025 3540 0
-3638 -3130 -719 0
-3879 -1908 4450 0
-1703 -125 728 0
-50 396 1042 0
111 627 4063 0
-4629 2437 3274 0
376 965 2332 0
1140 2979 4236 0
-2738 -1059 2351 0
-3045 -689 -293 0
-1123 303 2772 0
44 2583 3517 0
-4376 1741 4973 0
-2300 826 1537 0
-20 28 1998 0
-4054 33 2631 0
-3719 748 1431 0
-4661 1067 4490 0
-680 2052 2943 0
-2607 837 2286 0
-3608 -1403 414 0
-2130 1406 1636 0
-1215 356 4113 0
-3736 4267 4791 0
-4633 -2109 -1182 0
2130 2265 2457 0
-4761 -64 4020 0
-4980 1053 3149 0
1502 3450 3903 0
-1478 1481 4180 0
-3870 -1722 4801 0
-1536 2147 4672 0
-4561 4088 4746 0
-4896 836 1852 0
-789 858 1937 0
-28 2885 3819 0
-2011 -866 4564 0
-4471 -743 429 0
-4771 2125 2355 0
191 239 4744 0
-3451 -2897 4413 0
-3570 -3121 2845 0
-1086 92 1072 0
-3501 -2707 1493 0
-3088 -2805 4675 0
-4165 -1552 2095 0
-3496 -2674 1561 0
-3415 -1875 4177 0
-3025 -2553 -80 0
-1203 1074 2768 0
-1963 -1476 4316 0
2100 2253 3783 0
-1782 -1528 3228 0
-4337 -2578 577 0
-2614 -1847 3913 0
-4471 -2629 3261 0
-4684 -1479 3237 0
-4420 1798 2534 0
-54 1961 4237 0
-4860 -1964 -148 0
-3156 -2106 -1140 0
-3065 213 2333 0
-4180 -3623 574 0
-1530 -170 4216 0
-4577 -883 -878 0
-3815 896 2015 0
-1001 1164 4208 0
-2452 -1248 4995 0
-1564 -1191 -1098 0
-3685 -1801 1121 0
-1467 -83 336 0
-2312 255 4390 0
-3567 -2859 2915 0
1801 2288 2476 0
-3724 -1896 4812 0
-3175 -1404 267 0
-3824 580 4849 0
-1890 1666 3661 0
-1703 2909 4542 0
-2429 3983 4165 0
-4597 -4044 -1759 0
-4575 -459 3130 0
-3116 2823 4674 0
-3655 -378 121 0
-4943 -3442 -3384 0
-4126 -1391 3031 0
-4624 128 3258 0
-222 1518 4536 0
-1756 -567 -319 0
-4895 -4209 -1916 0
-3870 -3276 2128 0
-4828 -1070 -272 0
1562 2884 3414 0
828 865 4271 0
-3379 2281 2573 0
-514 2416 4348 0
-3098 -2280 -1880 0
-2611 -2253 -2138 0
-1668 13 2630 0
-2303 1210 4235 0
3298 3779 4039 0
-3621 -639 -244 0
-4467 -2676 1715 0
-4835 -4502 3507 0
-3957 -1942 2658 0
-1428 2275 4332 0
-2519 -1063 -421 0
-4 133 3237 0
-4951 -1864 2981 0
-1757 2393 3328 0
-2890 1747 1751 0
1935 2317 4610 0
-3274 1943 2899 0
-2475 4618 4987 0
-513 -196 4629 0
-3828 -594 4607 0
-3146 1892 4567 0
-4461 -1266 1400 0
-4127 1832 1843 0
-3399 -3307 -2772 0
-1607 -1137 4422 0
-2475 -1811 1142 0
-1411 3846 3875 0
-1397 450 3030 0
-4876 -3801 -352 0
-3033 2793 3015 0
-2068 2921 3356 0
189 3110 4602 0
-4111 -284 532 0
-1539 -382 2164 0
-447 505 4817 0
-256 -100 1418 0
-2902 323 4646 0
-571 1006 2805 0
-4036 -2259 3257 0
-1597 1192 4994 0
-905 2905 4843 0
-4129 -3829 1545 0
-1274 -300 3534 0
-759 896 4543 0
-4026 1474 1929 0
-4710 -3794 4205 0
-1284 1179 2958 0
-3654 -1126 4017 0
-4700 2853 3421 0
-1736 384 1008 0
-1736 -1504 -1078 0
-2095 -781 1505 0
-999 -555 2497 0
-4455 890 3710 0
-847 -561 1474 0
-3103 -441 -415 0
3112 3280 4578 0
559 1470 2531 0
-2455 4034 4502 0
-4292 -4218 1256 0
-4348 -2931 1171 0
1736 3937 4837 0
-4637 4256 4567 0
-4048 -1770 1938 0
-1774 4574 4577 0
-3712 -65 2061 0
-2690 -2615 558 0
-2393 -1854 2572 0
-1722 -1393 1874 0
-1005 2718 2898 0
-4812 -252 1992 0
-4642 -2387 2330 0
3490 3568 3696 0
-4709 -3307 1173 0
-4059 1856 4129 0
-1407 29 4945 0
-4252 -3806 1905 0
179 2387 3287 0
-3455 -874 2808 0
-4735 -4368 -4000 0
-798 -66 2376 0
-4632 -3353 -585 0
-1165 4788 4832 0
-3729 -3691 -3548 0
-4466 -2131 4610 0
-1233 313 2389 0
-4010 -783 1127 0
-3587 -1336 4364 0
-4545 -110 3468 0
-880 2565 4699 0
-4938 -2199 -1126 0
-3113 1180 3267 0
-4088 -626 4555 0
22 1016 1275 0
-1096 1063 1911 0
-782 -646 3025 0
-4287 -3756 -1301 0
-4336 -2304 -1374 0
-2305 4227 4285 0
-367 2008 3621 0
1435 1613 3595 0
-3521 -1351 460 0
-3520 -756 1865 0
-626 4348 4677 0
-4206 -2913 3038 0
-3835 -2932 2632 0
-3823 -2890 2857 0
-1001 139 4711 0
-4493 -3405 1872 0
-2686 1479 4834 0
-3691 966 1871 0
-3164 2343 3748 0
-3329 1554 2428 0
-3456 -1509 3125 0
-4573 -4287 3348 0
-911 4296 4468 0
-1324 3039 4163 0
-4535 -3831 3755 0
-2236 2380 2546 0
-4231 -4172 2948 0
-4722 -3191 4356 0
-4577 -3825 326 0
-943 2422 3291 0
1721 2755 4242 0
-4053 3785 4690 0
-4291 -19 1372 0
-2180 2002 3553 0
-4528 -3010 3639 0
-2218 -2189 907 0
546 1630 2436 0
-3317 -3151 3179 0
-2842 611 4784 0
-4576 -4148 -3011 0
-4423 -2763 -281 0
-3040 -2804 3304 0
-4786 -3199 3391 0
-4592 1828 4022 0
-4910 -2496 3613 0
-1159 1180 4611 0
-3415 390 1182 0
-4753 -1475 -1283 0
-4624 -1556 1317 0
-1161 -143 4942 0
-3835 3504 4061 0
-4875 -2730 1544 0
-665 2488 2723 0
-1321 -615 -462 0
-2822 2170 2321 0
-1792 866 2344 0
-2742 -231 204 0
-2929 744 3771 0
2646 3012 4800 0
-2967 1604 4050 0
-1176 126 959 0
-3530 -2258 533 0
-3763 1974 3065 0
-4841 -29 156 0
-2491 1630 3291 0
-616 414 4268 0
-3630 -72 2701 0
-2769 860 4634 0
-2357 3725 4743 0
-3391 -2202 1974 0
-4384 -2612 -2605 0
-1676 -1566 4008 0
-3247 2813 4281 0
-3883 -76 4360 0
-4520 -4299 -4023 0
-425 837 970 0
-4100 793 1878 0
-3197 -3036 -1058 0
-1479 -300 4059 0
-2615 -524 1753 0
-4873 226 327 0
-3165 -2577 -1813 0
-1459 -1123 -9 0
-1269 -1210 1553 0
-3022 -2005 461 0
-2267 167 4735 0
-4789 -1660 2059 0
1721 2585 4796 0
-1131 449 4882 0
-4780 -3332 3341 0
-2303 -1099 -51 0
-3485 358 2331 0
-4486 -1088 4747 0
-3725 -2623 -1262 0
757 3208 3584 0
1363 1887 3279 0
-3978 -3493 2712 0
1803 2045 2064 0
-1954 -1416 3377 0
261 1212 2734 0
-2182 -1949 4263 0
-3394 -2268 1041 0
-3725 2871 3938 0
-1832 1556 4694 0
-1304 2495 4330 0
-4722 -2554 -2210 0
-3480 -2854 1407 0
1728 2612 3159 0
51 1777 3478 0
-3511 -1219 -376 0
-2081 1788 1951 0
266 2834 4075 0
-4896 806 2221 0
-3996 323 2697 0
-4707 -1537 1433 0
-3844 -2500 4032 0
1024 2485 4547 0
164 1900 2563 0
-3519 977 2169 0
-4002 -3909 1710 0
-4805 728 2548 0
-1914 -1382 3207 0
2350 3742 4688 0
-1204 3705 4630 0
-1796 -858 3041 0
174 616 1800 0
571 3502 4810 0
-3719 -1664 746 0
-3141 -2566 3423 0
-4862 -3617 -3519 0
-4546 -3946 -2484 0
-1763 1905 3226 0
-1038 -370 2819 0
-3986 -266 846 0
100 316 4967 0
-3543 588 2048 0
-4068 359 3839 0
-3129 3516 4086 0
-1376 1928 3072 0
-4922 -1984 1036 0
-4655 -3867 -1011 0
-4716 -1787 4893 0
-4732 -3433 2213 0
950 2124 3453 0
-453 1060 1425 0
-4753 -4019 1969 0
-2281 877 1745 0
-1765 -752 131 0
-4119 -3880 3815 0
-3500 2594 3966 0
-1553 -1450 4643 0
-1633 602 4550 0
-3198 4131 4462 0
-4324 -2910 -1900 0
-1676 2350 3173 0
-4885 3551 3759 0
-3078 -2405 -2260 0
-4341 -3830 -1296 0
-4332 -1307 1722 0
-3488 -3148 -745 0
-2890 -2369 -1894 0
-3537 -2308 2284 0
-3435 -2608 807 0
-699 1149 3995 0
-4378 3204 4861 0
-4697 492 1009 0
-2309 -1533 2137 0
-587 924 3329 0
169 1697 3852 0
-3539 -3166 445 0
-2943 -2793 -338 0
-3684 1136 2524 0
-3628 809 956 0
476 4014 4578 0
411 786 3994 0
-1097 -125 3412 0
-2645 2931 4675 0
-4335 -490 3680 0
-1639 -867 2684 0
-3955 -1295 1059 0
-2508 -232 4732 0
-3184 -2639 -269 0
-4123 -3483 2162 0
-3303 3793 4012 0
-1144 4093 4668 0
-3674 -2097 -2089 0
-3510 -2843 -1251 0
1902 4208 4792 0
-2571 -410 -75 0
-3536 -3192 61 0
-3862 -2987 -1774 0
-3269 786 1981 0
-2147 2210 4370 0
-2158 -1339 2376 0
-3303 -279 4806 0
-4883 882 1571 0
-3560 -3532 3294 0
-4080 -842 786 0
-4507 -993 188 0
-3010 -1458 3111 0
-1963 -1886 -316 0
-114 1022 4178 0
-3847 -3299 -3021 0
-3366 -3116 -868 0
-3809 -3557 313 0
-3794 -1462 -1232 0
-4279 1798 4954 0
-3305 -1524 1119 0
-2981 -2322 4991 0
577 2291 2411 0
-3218 1163 2986 0
-3846 -3094 2994 0
298 1291 1659 0
-4859 3215 4222 0
-3259 -3050 4403 0
1795 2011 4162 0
-638 -520 366 0
-1044 -779 4285 0
-3927 478 4089 0
-4961 -2577 -2544 0
-4663 -366 1404 0
-4075 903 1858 0
-4682 1682 4797 0
-2268 998 2822 0
-3365 47 4102 0
-19 1330 3549 0
1917 2395 3462 0
-2671 2884 4310 0
-3839 -3438 -2580 0
1202 1477 2057 0
-4291 -4195 -3829 0
-4992 -4921 -1772 0
-1074 966 2544 0
-1539 589 2240 0
-2070 2546 4259 0
-800 -724 4322 0
-4778 -3263 483 0
-3658 -2413 795 0
-3750 -3512 2566 0
-2561 -730 4994 0
-3466 -1883 -363 0
-2835 -2078 -559 0
-4109 -3045 948 0
-3218 616 4907 0
-4653 -3396 4579 0
-2668 615 4630 0
-3219 -1554 -279 0
-3346 -1426 780 0
882 1858 3062 0
-1240 -1026 1278 0
-3948 4260 4318 0
-4440 1125 2411 0
-257 1427 4425 0
-3303 -111 4130 0
-3949 -1106 619 0
-1612 30 3017 0
-2936 1535 3034 0
3912 4149 4907 0
-2369 3495 4994 0
-951 1052 1653 0
-572 -525 3560 0
-3829 2545 3069 0
-3901 -2651 4464 0
-1731 6 310 0
-4309 -2848 4866 0
-4088 -3475 -3 0
-2869 -1848 2261 0
-3807 -3066 -142 0
-3400 1008 4055 0
-996 2729 3652 0
-2574 -2493 -123 0
2919 3645 4462 0
-1270 1266 4500 0
-858 -666 3862 0
-855 272 3904 0
2552 3039 3120 0
2260 3682 4678 0
-4906 -2099 517 0
-2520 -1519 2467 0
-1895 2356 4014 0
-1592 1849 4469 0
-2422 1040 3563 0
-3094 -3067 4371 0
-4285 -1204 4644 0
-858 876 2962 0
1041 2484 2686 0
-2854 -2210 2261 0
-4334 942 2064 0
-3151 -326 2270 0
-2479 944 1961 0
-3422 -991 4585 0
-4842 -4534 1352 0
-909 735 2776 0
-3977 -102 2867 0
-3160 -922 3906 0
-4415 -3504 -273 0
2173 2615 3656 0
-4240 -3193 246 0
2099 2661 3240 0
-2957 632 2997 0
-717 1167 1264 0
-4006 -2901 3625 0
-397 856 2501 0
-2580 -571 1257 0
1761 3495 4488 0
-4011 -1491 1315 0
-4295 1008 4049 0
-4659 -1894 2233 0
-3349 -1348 2106 0
-2817 -1664 2373 0
-4279 -2602 1532 0
-1697 2211 2705 0
-2744 1689 4025 0
-884 -448 1574 0
3089 3315 4606 0
-3510 1133 4743 0
-2559 3344 4158 0
-3307 -2914 1173 0
-4439 -3438 2858 0
1846 4277 4309 0
2191 2496 4302 0
-3340 -2613 -1635 0
-4772 -3711 1994 0
-2311 448 2820 0
-4831 -3005 4856 0
-3563 -2542 2836 0
-2729 -1718 614 0
2910 3159 4993 0
-3546 -1274 1461 0
-1374 2183 3582 0
-1232 230 4592 0
-2980 182 1760 0
177 973 3014 0
-1621 -1400 2403 0
-4224 607 1666 0
-3074 -2704 2999 0
-3274 -1540 2324 0
-833 884 1708 0
-2294 3158 4534 0
-4964 -4158 -596 0
-2165 3482 4389 0
-1910 1494 4852 0
-3653 1624 3335 0
-4608 -3968 -1141 0
-3180 -883 -776 0
-1657 2805 3266 0
-2931 6 3338 0
187 903 1295 0
-4369 -2303 3908 0
950 1280 2780 0
-289 2996 3549 0
-3751 418 3583 0
-112 -22 2020 0
-2492 -1874 4345 0
-2363 -2314 1722 0
-3760 -2292 617 0
-4105 770 3131 0
-1883 2410 3550 0
735 1710 4941 0
-2128 -1956 -1469 0
-3156 1726 4049 0
-1037 3016 3178 0
-4829 -4401 3130 0
-3479 694 4717 0
-2709 -1270 1742 0
-3902 -1354 -984 0
-4160 1086 1881 0
-4493 1281 3244 0
964 1918 4299 0
-4820 -2168 -1734 0
-4690 -2518 3253 0
-2828 -2168 4406 0
-4529 3759 4054 0
-3543 -3313 1422 0
-2293 36 1829 0
-4853 -4584 -4484 0
-3767 -1220 4084 0
